,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210506,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.5,12.8,23.5,25.1,26.8,33.7,33.6,30.8,21.3,7.1,4.6,3.6,0.0,0.0,0.0,0.0,0.0,13.8,8.4,22.42,19.0,17.0,12.0,9.0,7.0,3.2,4.2,0.4,1.2,0.3,3.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210509,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.4,11.8,20.9,28.2,33.3,36.8,38.3,37.1,33.5,27.5,18.2,5.6,0.8,0.0,0.0,0.0,0.0,13.9,12.3,29.04,22.0,20.0,18.0,16.0,15.0,2.6,2.3,1.7,1.8,2.2,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,6.7,11.9,11.6,18.6,19.4,25.2,13.2,6.3,9.7,5.5,3.2,0.0,0.0,0.0,0.0,0.0,13.9,0.3,11.37,23.0,22.0,19.0,16.0,15.0,4.6,2.7,2.6,1.8,1.9,3.0,3.0,3.0,1.0,1.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0
210511,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.6,6.7,10.7,18.0,18.9,21.1,20.0,17.1,19.1,8.9,5.4,3.5,0.5,0.0,0.0,0.0,0.0,13.9,0.5,13.85,28.0,26.0,21.0,18.0,16.0,3.4,2.5,1.0,1.4,1.3,4.0,3.0,1.0,1.0,1.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
210512,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.2,13.3,22.7,28.2,33.7,36.8,37.0,36.5,30.7,14.7,18.9,5.6,0.0,0.0,0.0,0.0,0.0,13.9,8.7,23.31,29.0,25.0,21.0,18.0,16.0,1.2,1.5,1.0,1.4,0.9,3.0,3.0,3.0,1.0,1.0,10.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
210513,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.5,11.1,19.6,27.2,32.4,35.9,36.7,20.8,33.6,27.1,17.7,6.7,1.3,0.0,0.0,0.0,0.0,14.0,11.7,27.09,29.0,25.0,21.0,20.0,20.0,4.0,3.2,2.3,3.3,2.6,3.0,3.0,4.0,4.0,4.0,10.0,20.0,30.0,30.0,30.0,0.0,0.0,5.0
210516,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,7.6,1.2,1.1,2.7,9.1,2.6,5.4,1.9,1.0,4.7,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.1,5.31,17.0,17.0,15.0,14.0,13.0,2.2,1.9,1.0,0.9,1.0,4.0,4.0,4.0,4.0,4.0,60.0,30.0,30.0,30.0,30.0,1.0,0.0,0.0
210517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.7,5.1,14.9,6.6,3.5,2.8,9.9,8.2,7.9,7.1,4.4,1.9,0.0,0.0,0.0,0.0,14.1,0.0,6.29,24.0,22.0,18.0,15.0,13.0,2.3,3.0,0.8,0.6,0.9,4.0,3.0,1.0,1.0,1.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
210518,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.1,5.7,9.5,17.8,45.4,50.4,46.8,15.2,8.5,28.4,7.9,9.4,1.3,0.0,0.0,0.0,0.0,14.1,6.1,20.51,28.0,26.0,21.0,18.0,17.0,1.9,1.3,1.7,1.6,1.8,1.0,1.0,3.0,3.0,4.0,0.0,0.0,10.0,20.0,30.0,0.0,0.0,0.0
210519,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,6.7,21.5,28.7,34.2,36.7,36.7,33.3,22.8,14.5,9.6,0.4,0.5,0.0,0.0,0.0,0.0,14.1,8.4,26.71,18.0,18.0,17.0,15.0,15.0,0.2,1.7,2.3,3.9,3.0,4.0,4.0,4.0,4.0,4.0,80.0,70.0,30.0,30.0,30.0,5.0,0.0,0.0
