,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210818,1027.8,997.2,984.1,927.7,898.1,913.5,919.6,951.3,1102.3,1242.9,1284.9,1283.9,1299.2,1331.2,1318.4,1285.0,1268.8,1206.1,1126.8,1064.9,1033.8,1015.1,998.4,970.2,13.4,13.72,28.0,25.0,23.0,21.0,20.0,2.7,0.5,0.4,1.5,1.1,3.0,3.0,3.0,3.0,1.0,60.0,60.0,20.0,20.0,0.0,4.0,0.0,0.0
210819,971.5,971.4,952.5,932.8,898.0999999999999,887.3,909.4,916.4,1050.6,1197.0,1248.9,1279.3000000000002,1258.4,1289.6,1274.3,1289.7,1261.9,1211.9,1120.3,1094.5,1086.8,1027.8,995.2,1007.7,13.4,15.44,29.0,27.0,25.0,24.0,24.0,3.9,3.1,2.5,3.7,3.2,3.0,1.0,3.0,4.0,4.0,20.0,0.0,20.0,30.0,30.0,0.0,0.0,0.0
210820,944.6,901.0,887.5,879.8000000000001,879.9,868.5,853.0,925.3,1079.5,1193.7,1261.0,1253.0,1264.2,1255.3000000000002,1318.5,1339.9,1338.0,1252.8000000000002,1155.6,1069.4,1015.1,1002.4,993.1,948.0,13.3,21.48,26.0,27.0,25.0,24.0,23.0,5.5,3.7,2.3,2.2,2.0,4.0,4.0,4.0,4.0,4.0,60.0,60.0,60.0,60.0,30.0,1.0,0.0,0.0
210823,957.9,939.3,979.4,933.7,900.5999999999999,921.0,920.4,945.7,1123.8,1180.4,1261.5,1288.3,1262.3,1342.3000000000002,1316.7,1324.6,1348.5,1312.5,1166.2,1083.4,1047.5,1015.2,1010.3,986.3,13.2,0.0,28.0,27.0,25.0,25.0,24.0,5.8,4.1,2.8,2.3,1.7,4.0,4.0,4.0,4.0,4.0,60.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210824,949.8,990.0,923.5,934.5,902.3,894.3000000000001,888.3,877.4000000000001,990.9,1226.6,1260.0,1279.9,1311.9,1353.8,1351.7,1337.1,1348.6,1342.3,1257.4,1167.1999999999998,1121.9,1089.8,1075.5,1038.7,13.2,0.0,26.0,26.0,25.0,24.0,23.0,1.6,1.7,1.5,1.3,1.2,4.0,4.0,4.0,4.0,3.0,62.0,60.0,30.0,30.0,20.0,0.0,0.0,0.0
210825,1003.9,980.8,984.4,956.3,968.5,934.0,933.7,940.9,1133.9,1234.1,1258.9,1295.1,1296.1,1337.0,1329.3,1320.9,1306.2,1373.1,1256.6,1139.1,1147.1,1102.2,1087.5,1053.1,13.2,8.42,30.0,28.0,24.0,23.0,22.0,2.4,1.5,1.2,1.0,1.1,3.0,3.0,1.0,1.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
210826,1064.9,1019.2,1035.6,1001.0,940.6,954.8,945.7,949.2,1110.5,1243.3000000000002,1287.3,1275.7,1273.3000000000002,1293.0,1324.6,1361.4,1351.0,1316.5,1235.3,1127.4,1100.5,1091.4,1080.0,980.8,13.1,21.14,28.0,25.0,24.0,22.0,22.0,4.3,1.4,1.2,1.5,1.3,4.0,4.0,4.0,4.0,3.0,60.0,60.0,30.0,30.0,20.0,7.0,0.0,0.0
210827,996.3,959.6,941.9,926.9,909.4,912.3,907.4,941.5,1031.3,1227.1,1301.3,1324.6,1353.6,1314.4,1314.2,1314.3,1284.1,1220.2,1089.3,997.9,976.8,974.5,931.1,926.3,13.1,7.63,29.0,27.0,23.0,22.0,22.0,2.3,1.7,1.1,1.0,0.4,4.0,4.0,4.0,3.0,4.0,30.0,30.0,60.0,20.0,30.0,0.0,0.0,0.0
210830,936.4,913.2,903.5,886.8,879.5,898.6,891.1,894.7,1076.9,1253.6,1283.0,1339.6999999999998,1290.9,1345.9,1348.3,1355.8,1369.0,1365.6,1249.0,1087.3,1112.1,1078.9,1067.4,1019.6,13.0,16.25,29.0,27.0,25.0,24.0,24.0,1.5,0.8,1.4,2.0,2.5,4.0,4.0,4.0,4.0,4.0,60.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210901,1005.3,958.3,961.9,935.1,941.9,955.7,950.9,997.8,1095.7,1245.1,1297.6,1286.2,1322.3,1332.7,1327.9,1359.8,1321.7,1281.3000000000002,1141.8,1084.1,1077.2,1068.8,1017.1,997.7,12.9,5.5,24.0,23.0,22.0,21.0,20.0,2.5,1.3,1.4,1.9,2.1,4.0,4.0,4.0,4.0,4.0,60.0,60.0,30.0,60.0,60.0,0.0,0.0,0.0
