,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,forcast_horizon
210607,774.4,734.6,733.5,742.9,699.8,685.9,693.9,704,828.7,952.4,1008.2,991.6,1003.8,1062.1,1097.6,1068.9,1087.9,1069.4,1004.7,972.5,976.2,940.4,921.2,871.1,3
210608,841.2,814.9,775,758.3,765.7,763.1,777.7,797.1,916.8,1009.5,1046.9,1085.5,1088.5,1171.1,1180.5,1206,1154.5,1149,1109.4,1031.3,1005.1,984.3,956.5,929.7,1
210609,884.2,834.3,807.8,822.7,800.8,762,785.8,797.1,917.8,1035.2,1074.8,1083.9,1175.5,1176.5,1230.8,1219.9,1209,1144.9,1084.6,1007.7,1010.6,982.2,962.1,923.4,1
210610,886.6,881.5,840.9,804.8,756.4,775.5,781.5,820.7,946.7,1054.3,1059,1088.4,1075.8,1140.4,1150.9,1102.7,1077.2,1079,996.1,982.6,951.1,916.6,911.9,848.5,1
210611,804.3,768.9,751.8,758.2,774.7,740.7,756.1,784.7,878.1,995.6,1102.1,1088.5,1083,1128.8,1147,1148.6,1135.9,1104,1052.3,989.5,954.8,951.5,887.2,889.8,1
210622,848.5,809.5,760.8,764.4,735.5,757.7,780.2,819.5,969,1062.2,1081.5,1123.7,1137.2,1143.3,1241.4,1219.8,1195.5,1143.1,1072.1,997.4,977.5,992.5,945.9,893.7,11
210623,875.7,830.4,815.8,803.6,783.5,778,799.5,806.7,932,1020,1141,1141,1147.4,1159.7,1131.4,1122.8,1139.8,1110.1,1103.8,979.1,978.6,933,913.7,887,1
210624,859.9,846.6,824.9,807,826.8,796.5,795.6,844.7,919.1,1053.3,1121,1119.5,1121.9,1112.5,1166.2,1148.4,1128.4,1092.2,1032.3,986.8,958.8,956.9,941.3,892.4,1
210625,869.9,825.5,808.3,786.7,760.1,769.4,784.5,791.3,967.3,1104.2,1194.5,1204.7,1161.6,1145.7,1206.5,1188.8,1153.7,1095.2,1047,977,937.5,896.3,869.6,853.7,1
210628,883.4,910.3,820.9,845.2,804.1,804.4,830.1,825.6,1074,1142.7,1237.3,1281.7,1264.2,1319,1329.1,1305.9,1206.6,1172.9,1108.2,1058.1,1019.8,991,977.8,963,3
